source_file,rep_number,duration_sec,valid_rep,down_elbow_angle,down_shoulder_angle,down_hip_angle,down_trunk_slope,down_chest_y,down_hip_y,up_elbow_angle,up_shoulder_angle,up_hip_angle,up_trunk_slope,up_chest_y,up_hip_y,rom_elbow_delta,rom_shoulder_delta,rom_hip_delta,rom_chest_displacement,timestamp_start,timestamp_end,rom_elbow_delta_rate,rom_shoulder_delta_rate,rom_hip_delta_rate,rom_chest_displacement_rate
bailey_pushup_data.json,1,0.649,True,67.04801085664276,5.296508715525848,175.50606327920977,-0.031128761494906083,263.65171766690776,267.78714629000854,165.82420152392928,57.69285326317872,178.9384407415898,-0.4092714100963233,185.3751455593362,229.9899350070566,98.77619066728651,52.39634454765287,3.432377462380032,78.27657210757155,2025-06-21 10:10:42.768,2025-06-21 10:10:43.417,152.19752028857707,80.73396694553601,5.2887171993529,120.61105101320732
bailey_pushup_data.json,2,0.499,True,67.80774893414949,15.006170293853788,175.38109566679907,-0.06458559239924798,271.5575481256967,279.8404998328157,152.38184399333574,52.35528225348863,176.98035504867917,-0.3482528053501315,195.51453333375895,234.16431983974238,84.57409505918625,37.34911195963484,1.5992593818801026,76.04301479193776,2025-06-21 10:10:44.017,2025-06-21 10:10:44.516,169.48716444726702,74.84791975878726,3.20492862100221,152.3908112062881
bailey_pushup_data.json,3,0.584,True,69.60705113523807,11.874120065472123,175.5171510760851,-0.008440204618893747,271.6528896475454,272.746398085444,164.79287204399384,53.18877763255444,178.97574603891226,-0.44120053220957206,184.05276363192695,233.0265004033238,95.18582090875577,41.31465756708232,3.4585949628271635,87.60012601561846,2025-06-21 10:10:45.181,2025-06-21 10:10:45.765,162.98941936430785,70.74427665596288,5.92225164867665,150.0002157801686
bailey_pushup_data.json,4,0.569,True,68.70190765913547,11.846943144465765,175.27238171468264,-0.07303479570263637,271.6394868817634,280.8104620826281,169.72472197574984,57.52250231780795,175.86472534837847,-0.42534383687354116,183.00224832645688,229.40114936002487,101.02281431661437,45.67555917334218,0.5923436336958332,88.63723855530651,2025-06-21 10:10:46.380,2025-06-21 10:10:46.949,177.54448913288994,80.27339046281578,1.0410257182703573,155.77722065958966
bailey_pushup_data.json,5,0.521,True,68.28233143780945,14.089987803053228,174.55652138417605,-0.05205396553575236,273.1405727921435,279.8009228701293,161.9080818883455,38.57945631812382,174.41377260990893,-0.30838339144331495,203.62193456299,242.71460647646828,93.62575045053605,24.48946851507059,-0.14274877426711896,69.51863822915348,2025-06-21 10:10:47.559,2025-06-21 10:10:48.080,179.7039356056354,47.00473803276505,-0.2739899698025316,133.43308681219477
bailey_pushup_data.json,6,0.584,True,68.5619010094527,13.780737426340286,174.87070624491275,-0.0005804716245717298,272.6455006198068,272.71998889072705,154.77999477094644,45.058711906637086,175.75433436503815,-0.34301713295649594,190.83047227000233,235.02038996620988,86.21809376149375,31.2779744802968,0.8836281201253939,81.81502834980446,2025-06-21 10:10:48.714,2025-06-21 10:10:49.298,147.63372219433862,53.558175479960276,1.5130618495297843,140.09422662637752
bailey_pushup_data.json,7,0.482,True,69.41600503959911,11.40384061831553,172.1080727569516,0.016417708033345513,272.876069013846,270.73547954170743,150.4020446362319,48.847987502328365,176.21117593108235,-0.3317362747207435,198.7848186652573,236.5579683691684,80.98603959663278,37.44414688401284,4.1031031741307515,74.09125034858872,2025-06-21 10:10:49.865,2025-06-21 10:10:50.347,168.0208290386572,77.68495204152042,8.51266218699326,153.71628703026704
bailey_pushup_data.json,8,0.583,True,69.1096710059528,9.002856150159861,173.8545329736695,0.004487563712979197,270.5244140781422,269.9433897228361,172.13996910703247,58.31846880352883,173.94253256340815,-0.4444765824939982,181.82691043980907,230.15822407718915,103.03029810107967,49.31561265336897,0.08799958973864364,88.6975036383331,2025-06-21 10:10:51.014,2025-06-21 10:10:51.597,176.72435351814696,84.5893870555214,0.1509426925191143,152.13980040880463
bailey_pushup_data.json,9,0.57,True,61.82943423331811,13.06195813992293,173.7059712543617,0.025632291672232115,274.7113883028573,271.40103437049254,165.5174800342721,56.55948843439886,175.47869958841798,-0.4136461310693642,185.66565775688582,230.8690750576286,103.68804580095399,43.49753029447593,1.7727283340562678,89.04573054597148,2025-06-21 10:10:52.198,2025-06-21 10:10:52.768,181.90885228237542,76.31145665697532,3.110049708870646,156.22057990521313
bailey_pushup_data.json,10,0.601,True,69.62679450130493,9.838072845258472,173.91979931674143,0.0006556233377491545,269.28263182222713,269.19769937489605,150.2869348712808,42.59024386917835,174.34146981316167,-0.32435640107000085,195.70451544957018,237.3335493012867,80.66014036997588,32.75217102391988,0.4216704964202336,73.57811637265695,2025-06-21 10:10:53.398,2025-06-21 10:10:53.999,134.20988414305472,54.49612483181345,0.7016148026958962,122.42615037047746
bailey_pushup_data.json,11,0.516,True,67.07917280217492,13.855495312426363,174.69595223210231,-0.05476583482249543,270.6993998196757,277.91324340842874,166.69828026924432,57.188487610531325,175.46254554760353,-0.42988334360671676,184.58575213616245,230.73951184901563,99.6191074670694,43.33299229810496,0.7665933155012112,86.11364768351325,2025-06-21 10:10:54.648,2025-06-21 10:10:55.164,193.06028578889416,83.97866724438946,1.4856459602736651,166.88691411533574
